track_name,artist,album,year
Jokers and Thieves,Chris Vickery,Temporary Measures,1967
bDoin It,Riviera Regime,Thugz Of War,2000
Wanna Be A Star,Kool Keith,Official Space Tape,1996
bHeard Em Say,Kanye West / Adam Levine,bHeard Em Say,2005
Hot Cross Bun,Mikey Dread,Rockers Vibration,1982
Please Come Home For Christmas,Lou Ann Barton,An Austin Rhythm And Blues Christmas,1986
Existing Alone,Rhian Sheehan,Paradigm Shift,2001
Paint Ball,Mario Rosenstock,Gift Grub 8 - The G Factor,1942
Nena Neur\xc3\xb3tica,Alejandro Lerner,20 A\xc3\xb1os,1932
Mule Get Up In The Alley,bCannons Jug Stompers,bThe Cornshuckers Frolic: Classic Recordings From The 1920s & 30s_ Vol. 2,1994
Reach For The Ground,The Ghost Of Lemora,Reach For The Ground,1933
Calling Dr Zarkov,Robin Frederick,How Far? How Fast?,1983
Black Tiger,Y&T,Open Fire,1982
Telling Me Lies,Dolores Keane,Solid Ground,1993
I Know A Man,Rev. Timothy Wright,Who\s On The Lord\s Side Live,1950
bLove Aint A Play Thing,Earl Hooker,Two Bugs And A Roach,1968
Le bar du grand d\xc3\xa9sir,Mich\xc3\xa8le Bernard,Mes premiers vinyls,2002
bIm Gonna Make Her Mine - Original,Billy Butler,bBilly Butlers Sugar Candy Lady,1989
bIll Show You Love,Usher,Usher,1994
Small Axe,Bob Marley,Lively Up Yourself,1999
Z\xc3\xa9l\xc3\xa9,bYodis,Z\xc3\xa8l\xc3\xa9,1937
Holla Boyz Outro,Shade Sheist / DJ Vice / DJ Echo / Damizza,Informal Introduction,1984
Easter Parade (1992 Digital Remaster),Andy Russell,Great Gentlemen Of Song / Spotlight On Andy Russell,2008
Green Fields  (Album Version),Eddie Cano,Here is Fabulous Eddie Cano,1965
Evalia,Placebo,The Bitter End,2003
Gospel Train (LP Version),David Meece,Front Row,2005
Scenario,A Tribe Called Quest,The Best Of,1991
My Party (Kenna Remix),Kings Of Leon,Charmer,2007
Hole In The Coal,Pentangle,Sweet Child,1973
Suite nupcial (directo Enjoy 07),Jaime Urrutia,En Joy,1997
Kick Jump - Part Jump,Cobra Killer,Cobra Killer,1998
Battle Of The Tom Tom,Shaman,Irresistible Meltdown Vol. 2,1980
Poaki,Nicholas,Apiti_ vol. 3,1965
Smile,Marvin Sapp,Be Exalted,1971
bIm Poured Out Like Water,Tel Basta,Lickerish,1996
Dirty Movies (Album Version),Van Halen,Fair Warning,1981
The Sun Shines From You,Teenage Fanclu,Howdy!,2000
Catalyst (LP Version),Epidemic,Epidemic,1982
Ghastly Indoctrination,Dark Fortress,S\xc3\xa9ance,2006
Rise,Eddie Turner,Rise,2005
Vuelve Junto A Mi,Los Chichos,Amor Y Ruleta,1979
Toot Toot Dixie Bound,Birmingham Jubilee Singers,Birmingham Jubilee Singers Vol. 2 (1927-1930),1975
Midnight Wind,Jimmy Wakely,Vintage Collections,2002
Night Cruiser (Album Version),Deodato,Night Cruiser,1973
There Is a Way,Jeff & Sheri Easter,By Request,1964
Assisted Suicide 2.5,X-Raided,The Unforgiven Vol. 2.5,1950
Lian Ai Tian Chi,Kary Ng,Lian Ai Tian Cai,1995
Ice Cream Cakes,Jeff Beck Group,Original Album Classics,1972
Shagi po bitomu steklu,Malina,Malina.Org.azm.ru,1983
If My Baby (LP Version),Mista,Mista,1982
Better Off That Way,Steve Smith,This Town,2001
Informer,Sugar Minott,Dance Hall Showcase Vol. II,2008
bSpirit in My Life (Earnshaws Instrumental),Cedric Gervais Featuring Caroline,Spirit in My Life,1934
The Army Air Corps,The King Sisters & Alvino Rey,In The Mood,1978
bMamas Boy,Suzi Quatro,The Wild One - The Greatest Hits,1979
Anxiety,Humanzi,Diet Pills & Magazines,1969
Groove It,Gene Latter,Groove It,1945
Tenderly,Billy May & His Orchestra,All Of Me,2007
Genius,Kings Of Leon,Youth & Young Manhood,2003
She Flock To Me,Kurupt_ Rosco_ Jayo Felony & 40 Glocc,Kalifornia Love,1939
Roll Back The Clouds,Christie Hennessy,The Platinum Collection,1952
bTravellin (Album Version),The Jeremy Spencer Band,Flee,1968
Studio Dialogue (#19),The Stooges,1970: The Complete Fun House Sessions,1943
Ji Nian Pin,Candy Lo,Miao......,1969
Evil Hearted Ada,bFlamin Groovies,Teenage Head,1971
bThats The Kind Of Baby For Me,Eddie Cantor,All Time Greats,2000
Introduction,Marga Gomez,Hung Like A Fly,1999
Oriza Eh,Roberto Roena,Apollo Sound V,1972
bDefinition Of A ZillaNaire,Tum Tum [DJ Drop Mix],The Definition Of A Zilla\x19Naire [DJ Drop Mix],1933
Mi Amante Amigo,Rocio Jurado,15 Exitos Originales Con Rocio Jurado,1969
bNow everybodys gone,Salieri,Electric Doorbells,2008
I.A.I,Royal S,Attitude Identitaire,2005
Yang Guang He Xu,Steve Chou,Happy Etude,1980
Everything I Desire,The Brooklyn Tabernacle Choir,Praise Him...Live!,1995
Wake Up! Wake Up! (Wake Up! Wake Up! Album Version),Everyday Sunday,Wake Up! Wake Up!,2007
bI Dont Give A F**K,D.O.W.N.,Southern Slang (Chopped & Screwed),1937
Hot Tamale Baby,Buckwheat Zydeco,Best Of/20th Century,1987
Let The Chips Fall,Charley Pride,Super Hits,1967
bWhen Youre Smiling - Sheik Of Araby,Louis Prima & Keely Smith,The Vegas Years,1973
The Wonders,Yami Bolo,Reggae Superstars 9 & 10,2002
In A Dead World (Album Version),Killswitch Engage,Killswitch Engage [Special Edition],1979
Dama Dam Mast Kalander,Pardesi,Balle! Balle! Sounds of Bhangra,1972
Jesus Walked This Lonesome Valley  (The Christmas Guest Album Version),Andy Griffith,The Christmas Guest,1998
Get Picked Up,Crazy Girl,Get Picked Up,1996
Printemps,Les Ogres De Barback,Irfan_ le h\xc3\xa9ros,1999
Ambulance Man,Memphis Jug Band,The Best Of The Memphis Jug Band,2001
La Barca,Nelson Ned,Canta Lo Mejor De Los Mejores,1953
Laziness,Juan Farcik,Wet Memory,1984
Avec lui,Mich\xc3\xa8le Arnaud,bThe Greatest Hits from 40s and 50s_ Vol. 40,1988
ICU,Saigon Kick,Live Around The World 1991 - 1996,1995
Tomame O Dejame,Nicho Hinojosa,Nicho... En El Bar 2,2007
Over You (feat Joyo Velarde_ prod DJ Shadow),Lyrics Born,Same !@#$ Different Day,2005
bMy Girlfriends Friend,The Refreshments,24-7,1967
Just A Little Bit Of You,Michael Jackson,Soulsation! The 25th Anniversary Collection,1975
bFuckin Wita Psycho,X-Raided,X-Filez V.1: 24 Garden Blocc Classics,1970
Only A Look,The Nelons,bGlad Youre Here,2000
Do It,DJ Nasty,Tha Remixes Vol. 2,1984
Just A Phase,Incubus,Live in Malaysia 2004,2001
bIm Gonna Cry Til My Tears Run Dry,Irma Thomas,Straight From The Soul,2004
Werther - Lyric Drama in four Acts/Act I/R\xc3\xaave! Extase! Bonheur!,Ram\xc3\xb3n Vargas;Vesselina Kasarova;Vladimir Jurowski,Massenet: Werther,1996
Love & Devotion,Sizzla,Riddim Driven: Wanted,2003
bEverythings Gonna Be Alright (Live Version),King Curtis with Jack Dupree,Blues At Montreux,1994
It Is What It Is (feat. Anton X),Omni,It Is What It Is,1971
bLosin End (LP Version),Michael McDonald,bIf Thats What It Takes,1956
bAtto Quarto: La Fatal Pietra Sovra Me Si Chiuse... (Radames) (Verdi),Orchestra e Coro del Palacio de Bellas Artes Di Citt\xc3\xa1 del Messico_ Oliviero De Fabritiis_ Maria Call,Verdi: Aida,2009
Bop Moon,Giuseppi Logan,The Giuseppi Logan Quintet,1937
Broke Down,Radio Moscow,Brain Cycles,2009
Amdokwe,Vusi Mahlasela,Miyela Africa,1981
Indita Mia (Album Version),Alacranes Musical,Los Primeros Exitos Alacraneros,1935
Mr. Sellack (Album Version),The Roches,The Roches,1979
Hypnotise The Cat,Tam Tam Go!,The Platinum Collection,2004
Nassau Town,John D. Loudermilk,The Open Mind Of John D. Loudermilk,1991
Too Late (Orange Factory Extended Mix),Tina Ann,Situations,2003
Pocket Calculator (2009 Digital Remaster),Kraftwerk,The Mix (2009 Digital Remaster),1994
Dime,Conjunto Mar Azul,Happy Boy,2008
bThe Buzzards Back in Town (Live),Pumpkin Buzzard,Perfect Dragon,1978
Look Me In The Eye,Margaret Becker,Simple House,1998
Harry Flowers,William Orbit,Strange Cargo III,1993
The Lull Before The Storm,Ron Goodwin,Battle Of Britain,1999
Gonna Take a Miracle,The Elders,Racing the Tide,2002
Orgasme Tellurique,Stille Volk,Maudat,2003
SAMJHO NA,F-4,F4-Tu To Na Aai,1963
The Sun Shine Down My Way,Doug MacLeod,DUBB,2004
Neighbor_ Neighbor,Jimmy Hughes,The Best of Jimmy Hughes,1983
Trace Of Time,Emotion Code,Mesmerise the Future,1986
Mary Had A Little Lam,Stevie Ray Vaughan And Double Trouble,bSoul To Soul/ Texas Flood/ Couldnt Stand The Weather,1988
bThis Aint Pleasure,L7,Bricks Are Heavy,1992
Hear Me Talking To You,Ma Rainey,Mother Of The Blues_ CD E,1961
Man  On The Side,Bill Perry,Raw Deal,2004
The wrong woman,Billy Price_ Fred Chapellier,Night work,2002
Den Mporo Na Figo,Angela Dimitriou,Mia Vradia Stin Fantasia No.1,1972
Skylark,Ann Hampton Callaway,Easy Living,1992
MVP,bCorey / Shaquille ONeal,bIm Just Corey,1934
Between Hell and A Heartbeat [Explicit],Hatebreed (int License),Hatebreed [Explicit],1997
Broken Promises (album version),Moments In Grace,Moonlight Survived,2004
bIll Come Running,Connie Smith,The Essential Connie Smith,2001
Thresh Hold,Uphill Battle,Wreck of Nerves,2004
Boulevard In Heaven,Barbara Fairchild,He Kept On Loving Me,1954
Mambo del Beso,Orquesta Arag\xc3\xb3n,Mamb\xc3\xb3 Inspiraci\xc3\xb3n - Primeras Grabaciones 1953-1955,1984
Boogie,Wilks featuring pee wee ellis,Brightess night,1984
Stagger Lee,Nick Cave & The Bad Seeds,Murder Ballads,1996
Two Four One,Dave And Ansel Collins,Double Barrel,1971
Survivalism,Nine Inch Nails,Survivalism,2007
Provisoirement,D\xc3\x89SOL\xc3\x89,Perdus Corps et Biens,1979
AquaCityBoy,K-OS,Atlantis - Hymns for Disco.,2006
Chlore,Pascal Obispo,bUn Jour Comme Aujourd Hui,1994
Lala Song (Matesi DJ Silverstatixremix,Bob Sinclar,Lala Song The Remixes,1982
Sarah Palin {I Wanna Lay Pipe},John Brown,John Brown Or Die: A Revival You Can Believe In,1970
Santa Claus Is Coming To Town,Buddy Miles,Greatest Christmas Hits,1937
Fat Tianne,Tanto Metro & Devonte,Riddim Driven: Coolie Skank,1985
Neir,Mau Mau,Sauta Rabel,1992
Nowhere To Run,Michael McDonald,Motown II,1977
Mercy (Album Version),Darwin Hobbs,Mercy,1981
Sting Me,The Black Crowes,The Southern Harmony And Musical Companion,1992
bYoure Looking Good,Dee Clark,Greatest Hits,2000
Cooling Out,Cocoa Tea,Authorized,1992
I See War,IYOV,Allt \xc3\x84r Skit_ J\xc3\xa4mt,1952
Brother Brick Says,Claw Hammer,Claw Hammer,1955
bAnita Loves,Carlos Jimenez,bAnita Loves,1981
UBIK The Breakz (feat. Martin Bettinghaus) - Radio Mix,Timo Maas,Dope Radio,1999
If You Think You Are Lonely Now,Kashief Lindo,Solid Soul,1973
Little Drummer Boy,The Almost,X Christmas,2008
Silencio De Aguas Profundas,Alas,Mimame Bandone\xc3\xb3n,1970
Studen plamuk,Sofi Marinova,100 Unforgettable Bulgarian Pop Songs By Songwriter Jivko Kolev - Part I,1976
Lioraras,Los Ninos De Sara,Espana tiene sabor,1956
Hiraeth am Feirion,The Gentle Good,While You Slept I Went Out Walking,1979
Saylarvee (LP Version),Small Faces,Playmates,1934
Conversation,Jimmy Riley,Love Canticle,1966
The Call,Backstreet Boys,Black & Blue,2000
Die Art von Mann,1. Futurologischer Congress,Patchwork,1954
bEddies Pad,Tom Collier,Malllet Jazz,1961
Liberty,Heavenly,Virus,1930
bLhorizon Chim\xc3\xa9rique,Julien Clerc,bSi J\xc3\xa9tais Elle,2000
Raza Cristalera,Los Morros Del Norte,El Vaqueton,1964
The Tie That Binds,Moon Mullican,bMoons Tune,1951
First Boyfriend,Helen Love,bIts My Club And Ill Play What I Want To,2007
Seikurabe (Karaoke),Yuko Kanzaki,Fuwari,1956
G G Kah,Moonface,Discoteca Ep 2,1935
The Mission,30 Seconds To Mars,30 Seconds To Mars,2002
Two-Sided Politics,Suicidal Tendencies,Still Cyco After All These Years,1987
La Matanza,Grace Gale,Stronger_ Faster_ Science,2008
On Tha Rox,King Tee,bTha Triflin Album,1961
bLAmour en Heritage,Alain Morisod,20 Melodies pour rever_ Volume 2,1992
Medley Final,bKassav,Se Nou Manm (Live Au Zenith),1944
All Over Now,X,At Home With You,1970
Cuando Ya Me Empiece A Quedar Solo,Sui Generis,Adios Sui Generis Vol III,1973
Beautiful,Eminem,Beautiful,2009
No More Troubles,Sunnyland Slim,Chicago Blues Festival 1974 With Jimmy Dawkins,1966
L.A. Arteest Caf\xc3\xa9,Stew,Something Deeper Than These Changes,2003
Juggernaut,Cauda Pavonis,The Gothic Sounds of Nightbreed Volume 5,1961
Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version),Twista,The Day After,2005
Runaway Train (LP Version),Geddy Lee,My Favorite Headache,2000
Letters to Norway,Planetakis,Out of the Club Into the Night,2007
They Know (Remix),Rick Ross,Legendary,1995
Still Love Remains (Album Version),Seal,Human Being,1998
The First Leaves Of Autumn,The Fureys,The Fureys Finest,1993
Bright Lights_ Big City,Jim Jones / Max B,bJim Jones / Hustlers P.O.M.E. (Product Of My Environment),1989
Maybe Someday...,Simply Red,Men And Women,1987
j Uh!,Juana Molina,Tres Cosas,2004
Le clair de lune \xc3\xa0 maubeuge,B\xc3\xa9zu,B\xc3\xa9zu le roi de la f\xc3\xaate,1933
Seventy Times Seven (LP Version),David Meece,David Meece/Chronology,1983
Life Is Real,Ayo,Joyful,2006
Snow [Hey Oh] [Live Version],Red Hot Chili Peppers,Snow [Hey Oh] [Live],1979
Silence,Mothers Pride,Halfpastheartache,1965
Absolute Horizon,Byzantine,Oblivion Beckons,2008
Turnpike,Halfway to Gone,Halfway to Gone,2004
Spoonful,Robben Ford,Soul On Ten,2009
Si Te Dicen Por Ahi,Charlie Cruz,Asi Soy,1989
bLEtang Chim\xc3\xa9rique,Jacques Douai,Heritage - Floril\xc3\xa8ge - BAM (1954-1978),1965
On The Road To Emmaus,The Steeles,For The Sake Of The Children,1990
Need More Blues,Sleepy John Estes,Mississippi Delta Blues Jam In Memphis,1993
Werewolf_ Semen And Blood,Beherit,Drawing Down the Moon,1993
Moritat (Mack The Knife),Bobby Darin,Live! At The Desert Inn,1979
If You Ask Me,Nick Colionne,bKeepin It Cool,2006
Beauty Queen (12 Spoon Club Mix),SNAP!,Beauty Queen,2005
Pickled Heads,Elliot Goldenthal,Titus - Original Motion Picture Soundtrack,2000
El Capiro,Mercedes Castro,Mercedes Castro Acompa\xc3\xb1ada con Mariachi Y Banda - En vivo,1940
Revelations,Marco Beltrami,Knowing,2009
Little Cry For Him (Chorinho Pra Ele) (LP Version),Hermeto Pascoal,Slaves Mass,1988
Silence,Jedi Mind Tricks,Greatest Features,1972
bJust Like Lightnin,Joe Satriani,Satriani Live,2006
Lost In The Funhouse Again,Michael Stanley Band,You Break It...You Bought It!,1975
The White Spirit,Uman,Conversations with God: A Windham Hill Collection,1971
Escape From The City,John Williams,War of the Worlds,1945
bCrir Adar Main,The Gentle Good,While You Slept I Went Out Walking,1978
Time Zone (Album Version),Lauren Wood,Lauren Wood,1952
bWere Together Again,Ray Pillow,Country And Western - Volume 1,1998
If Your Na Na Get Wet,Baby Bash,Menage a trois,1947
Mine Again,Mariah Carey,The Emancipation of Mimi,2005
Gone,Frankie J,The One,2005
No One Knows,George Nooks,Better Days,1999
Procession,Vangelis,The City,1990
Multiplayer,Babylon Disco,Natsukashii,2007
Vennette,Maria Bamford,The Burning Bridges Tour,2003
The  First Of The Year,Rubyhorse,Rise,2002
Ooh La La,Tyrone Davis,Call Tyrone,2005
bAirtos Jazz Dance,Flora Purim,Perpetual Emotion,2001
bWhen Summers Through,THE CHIFFONS,bSweet Talkin Girls: The Best Of The Chiffons,1963
bBobbys Girl (Previously Unreleased Demo - Stereo),Marcie Blane,bBobbys Girl - The Complete Seville Recordings,1930
The Traveller,Atman,Bar De Lune Presents Buddhist Chillout,1960
Freight Train,Elizabeth Cotten,Live!,1958
Cuando Quieres Tu,Sonora Santanera,La Inspiracion De Agustin Lara,1957
Let It Be Me,Tommy McLain,Voices Of Americana: Tommy McLain,1976
Aquel Amor,Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,1978
Unicorn,David Lynch,bLitl Song,2003
Into Battle,Ensiferum,Iron,2004
(Do)Minion,Eluveitie,Everything Remains (As It Never Was),2010
Active,Dark Party,Ghostly Swim,2008
bInterlude: Livin...In Complete Darkness,Janet Jackson,Rhythm Nation,2006
Li Jia Chu Zou,Janice Vidal,Wish,1931
Times Like These,Albin Myers,Times Like These,1933
bIm A Killer,Hot Live Guys,bRobbin A Bank,1985
Djessy,Kanda Bongo Man,Djessy,1947
Nightly Cares,M\xc3\xbam,Nightly Cares,2004
Love Selecta (feat Iffectz & Marwa),Alex,Self Control,1981
Whosoever Will (LP Version),Marvin Sapp,Grace And Mercy,1953
A Girls Oath,Eluveitie,Evocation I - The Arcane Dominion,1932
Rossignol Montmartrois (Polka),Jo Privat,Dansez Avec Jo Privat,2002
Ku Klux Klan,Steel Pulse,Rage and Fury,1978
Anybody Seen My Girl,bKeMo,bKe Mo,1994
Lively Up Yourself,Bob Marley,Keep on Moving,1991
bIm All Yours (LP Version),Rachael Lampa,Blessed: The Best Of Rachael Lampa,1991
Get On Our Own,Buzzcocks,French,1978
Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo,David Zinman;Pittsburgh Symphony Orchestra,Danielpour:  Concerto for Orchestra,1999
Just My Baby,Rickie Lee Jones,Live at Red Rocks,1989
Because Of You,Cece Winans,Alone In His Presence,1973
I denna ljuva sommartid,Sofia Karlsson,Folk Songs,2002
Shape Of My Heart,Backstreet Boys,Black & Blue,2000
Firedance,Mystic Rhythms Band,Music For Dancing,2005
Hopelessly,Epitaph,Epitaph,1972
bLets Have Some Fun,Rodney O_ Joe Cooley,The Best of Rodney O and Joe Cooley,1995
The Keys,Jerry Goldsmith,L.A. Confidential,1997
Juste Une Fois,Alexis HK,bLhomme Du Moment,2004
Prelude In C Minor From The Well Tempered-Clavier,Steve Erquiaga,The Bach Variations,1963
Love Can Run Faster,Robert Palmer,Double Fun,1978
The Blue Side of The Sun,Sigmatropic,Dark Outside,2007
New Detroit,Neon Blonde,Chandeliers In The Savannah,2005
da da Diamonds,Soul Ballet,LAViSH,2007
bLivin A Lie (Video Mix),Milk Inc.,Double Cream,2001
Proud,Korn,I KNOW WHAT YOU DID LAST SUMMER THE ALBUM,1996
Communication (More Mix),bMario Piu,Communication (Remix),1962
Passover,Joy Division,Let The Movie Begin,1980
Wolverine Blues (Slight Flaw In Master) (1940 Blackhawk Restaurant Chicago),Bob Crosby,1937/40 Broadcasts,1991
Rock & Roll Renegade,The Frantic,Audio & Murder,1931
bCEst Moi LBO$$,Ruffneck,Ma Motivation,1994
Soo Bawlz,Devo,Q: Are We Not Men?  A: We Are Devo / Devo Live,1979
Bl\xc3\xa5sut,Sofia Karlsson,S\xc3\xb6der Om K\xc3\xa4rleken,2009
By Faith I Can Touch Him Now,The Perrys,Hits & Hymns Volume II,1953
Wait On The Lord  (LP Version),Shirley Caesar,bHes Working It Out For You,1989
Curiosity,The Jets,Back to Back - Atlantic Starr & The Jets,1955
Fire (Orange Factory Dub),Dolce; Orange Factory,Fire,1967
Music Of The Sun,Rihanna,Music Of The Sun,2005
Width Of The World,Tin Hat Trio,Helium,2000
Houston Anthem,DJ Nasty,Tha Remixes Vol. 19,1999
Til The Storm Passes By,Bill & Gloria Gaither,Turn Your Radio On,1995
Dinner Party Pool Music,Angelo Badalamenti,Mulholland Drive,2001
More Than One Love,Venice,More Than One Love,1961
Pegadito,Tommy Torres,Pegadito,2010
Street Lights,Kanye West,808s & Heartbreak,2008
Death of Me,Smash Palace,Fast_ Long_ Loud,1997
More Than Vocals (MTV),Natural Elements,1999: 10 Year Anniversary,1977
Sentimento (Asteri_ Asteraki),Dakis,Moments,1991
Slips Of Paper,Dave Brockie Experience,Songs For The Wrong,2003
Mesmerise The Future Part 1,Emotion Code,Mesmerise the Future,1977
Backseat Driver,Debbie Davies,Round Every Corner,1998
Refuge,Matisyahu,bLive at Stubs,2004
Sex,Bow Wow Wow,Girl Bites Dog_ Your Compact Disc Pet,1968
Engel,Der Plan,Live At The Tiki Ballroom...,1999
Oh Little Town Of Bethlehem,Sergio Franchi,The Heart Of Christmas,1957
Old Memory,Ashton Shepherd,Sounds So Good,2008
The Lord Will Go Before You,Janet Paschal,The Good Road,1982
Mama Talk To Your Daughter (take 2),Lonnie Brooks,Sweet Home Chicago (Paris 1975) (Blues Reference),1954
Grow Proper,I Wayne,Lava Ground,2005
My Chickasay Girl,Roy Rogers,Ride Ranger Ride,1958
Soorma,Jazzy B,Romeo,2005
Flamme & co,Les Ogres De Barback,Terrain vague,2004
Welcome To Hell,Coffinberry,God Dam Dogs,2003
Boyfriend,Janitor Joe,Big Metal Birds,1993
bWeve Only Just Begun (LP Version),Young-Holt Unlimited,Born Again,1971
bNight Wont Last Forever_ The (Kingdom Come Album Version),Charlie Peacock,Kingdom Come,1999
All The Difference In The World,Brent Lam,bRight Now Its Raining,1946
Memmer?... U Memmer!,George Lopez,Right Now Right Now,1955
Koronoko,Rokia Traor\xc3\xa9,Tchamantch\xc3\xa9,2008
bSee You Comin,Vodka Collins,bBoys Life,1999
Megalodon,Mastodon,Leviathan,2004
Telepathy/Ted Haggard Got Cured of the Gay,Joe Rogan,Talking Monkeys In Space,2010
Be My Lover,Brenda Boykin,Music For Cocktails - Fashion Show,2008
Washed Away,Tom Cochrane,Mad Mad World,1992
bAngel Of Heavens Gate,Erik Berglund,Angelic Harp Music,1986
American Ghost Dance (2003 Digital Remastered),Red Hot Chili Peppers,Freaky Styley,1985
Voices,James Newton Howard,The Happening,1997
Song 2,Faith Yang,Self-Selected,2009
Binaural Presentation - Focus On A Beam Emptied Of Thinking_ Outward...,Roger Reynolds,Process And Passion,1961
Sophisticated Lady,Toots Thielemans,Only Trust Your Heart,1955
Watch Them,SOJA,Soldiers of Jah Army,2008
bI Guess Im Crazy,Jim Reeves,RCA  Country Legends,1990
Asheville Turnaround,The Del McCoury Band,bIts Just The Night,1955
Pour toute la vie,Les Hou-Lops,Tout ira tr\xc3\xa8s bien,1980
Spacer,Ketty DB,Spacer,1967
bMornings Coming,Jeff And Sheri Easter,bSittin On Cloud Nine,1933
Backlash,Sonic Subjunkies,Live At The Suicide Clu,1973
Broke Down On The Brazos (Album),bGovt Mule,By a Thread,2009
Popsy,Ray Conniff,Happiness Is,2006
bShes About A Mover,Sir Douglas Quintet,The Complete Mercury Masters,1939
Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version),Michelle Tumes,Center Of My Universe,1968
Come See,Major Lance,The Very Best Of Major Lance,1963
Ghetto,Bad Azz,Money Run,2003
This White Circle,Kitty Wells,Wings Of Angels,1962
WristStraining Order,Defect & Quixotic,Return Of The DJ 5.5 Optimized,2008
Radio Roy II,Mario Rosenstock,Gift 2,2008
Down at the Mardi Gras,bRockin Dopsie_ Jr.,Ultimate Mardi Gras,1989
Love Dump (Demo Version),Static-X,Beneath...Between...Beyond...,1957
No-Satellites,She Satellites,Poison Lips,1999
Roorasty,Saman,Koocheyeh Khatereh,1971
Chinz Ninja (Rui Da Silva mix),Smart Alex,Produced & Remixed,1974
Call Of Da Wild,OutKast,Southernplayalisticadillacmuzik,1994
Dirty Diana,Michael Jackson,Michael Jackson: The Ultimate Collection,1987
Single Man Blues,Bukka White,Sky Songs,2004
bMothers Day Part 1,AFS,bMothers Day,1983
bId Like To Be,Jim Reeves,Legends,1994
Weightless (Demo),Wet Wet Wet,Weightless,1984
Conqueror Worm,Tsar,Band-Girls-Money,2005
White Christmas,Martin Sexton,Camp Holiday,2005
Arrows Of The Gods,Elliot Goldenthal,Titus - Original Motion Picture Soundtrack,2000
San Juan,Dave Valentin,Primitive Passions,1940
Classic Material,Casual,Truck Driver,1996
bGroovin With Jimmy,Jimmy Burns,Back To The Delta,1989
Au mariage des Levon-Lecu (Live),Claire Elzi\xc3\xa8re,La vie va si vite (Live),1992
Wonderful Peace,Dino,Quiet Time,1961
Mate Tron,Luke Vibert,Mate Tron,2007
Time Will Tell,Ice,Darkest Light,1991
Ladies And Gentlemen,Spiral Stairs,The Real Feel,2009
E,Rea_ Chris,The Road To Hell Part 2,1999
Deviate From The Form,Scar Symmetry,Pitch Black Progress,2006
Mambo Tipico,Tito Puente,Mamborama,1993
The Door,Silverchair,Freak Show,1997
Dichoso,Willie Bobo,bWillie Bobos Finest Hour,1948
Better Luck Next Time,Lifehouse,Lifehouse,2005
Todo Lo Que Soy,Carlos Ponce,La Historia,1999
La mujer que no sone (Album),Ricardo Arjona,Solo,1940
bBaby Dont You Change,Tyrone Wells,Hold On,2005
Early In The Morning,B.B. King,Hurricane Relief: Come Together Now,2002
bSportin Life,John Sebastian,Tarzana Kid,1938
Valse Des Montagnes,Andre Verchuren,Tango Pour Madameon,1942
The Three-Dimensional Shadow,Scar Symmetry,Holographic Universe,2008
Souvenirs,Concretes,Hey Trouble,2007
Train Tracks,Izzy Stradlin And The Ju Ju Hounds,Izzy Stradlin And The Ju Ju Hounds,1992
Unchain Us,Don Campbell,Reggae Hits Vol. 35,1993
Carry The Light,David Lynch,Good Wood,1999
Hot Weiners (All The Way),Cotton Candy,Top-Notch & First-Rate,2000
Down_ Down_ Down,Frank Marino & Mahogany Rush,Tales Of The Unexpected,1969
Call The Police,John Wayne,1985 Sleng Teng Extravaganza,1954
Scared,The Incurables,Fade,1969
bDont Go,Bert Kaempfert,Orange Colored Sky,1996
bShes Actin Bad,H-Town,Imitations Of Life,1939
bThe Harp That Once Through Taras Halls,Voyager Series,Celtic Harp,1973
bYoull Never Know,JERRY WALLACE,bJerry Wallaces King Of The Mountain,2004
Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson),Beenie Man Featuring Janet Jackson,Feel It Boy,2002
Aupr\xc3\xa8s De Mon Arbre,Georges Brassens,Georges Brassens-N 4,1956
Basking Under a Blacksun Dawning,Morgion,Morgion,1997
Freedom,4Him,The Basics Of Life,2003
Let It Bleed,Wild Horses,Rolling Stones Instrumental Renditions,1949
Touch My Hand [Remastered],David Meece,David,1974
Hide Away,Freddie King,King Of The Blues,1960
Never Gonna Be The Same,Danny Wilson,Bebop Moptop,1989
Beothuck,Malefaction,Crush The Dream,1977
Uu-Pee-\xc3\x84mm\xc3\xa4t,Jope Ruonansuu,Kaikkien aikojen parhaat -45 klassikkoa - Aattelepa ite,1959
After The Laughter,Marcie Blane,bBobbys Girl - The Complete Seville Recordings,1995
That Little Ole Wine Drinker Me - Original,Charlie Walker,bCharlie Walkers T For Texas,1997
CB4 (Instrumental Mix),Slum Village,Fantastic Vol. 2.10,1959
Pop Pop,Twista,The Black Jason Of Rap,1968
Grateful & Thankful,Francis Dunnery,Hometown 2001,1996
The Minuet Of The Robots,Perrey And Kingsley,The Out Sound From Way In!,1968
Another Djemba Djemba,Youves,Cardio-Vascular,1939
bJe TAppartiens,Maurice Larcange,Joue Legrand & Becaud,1962
Paseo Col\xc3\xb2n,Mau Mau,Made In Italy,2004
Shotgun Sally,Cats In Boots,Kicked And Klawed,2008
Rock On The Radio,Firehouse,Firehouse,1990
